sentence,shannon,huffmann
"only, she would have called him a fish)--and rapped loudly at the door",4.095314496302892,4.9565215
"with his knuckles. It was opened by another footman in livery, with a",4.210439139231385,5.08
round face and large eyes like a frog.,3.77382192315402,4.352941
[Illustration],3.521640636343319,3.75
"The Fish-Footman began by producing from under his arm a great letter,",4.219247469848468,4.9166665
"and this he handed over to the other, saying, in a solemn tone, ""For the,3.7933068564849295,4.631579
Duchess. An invitation from the Queen to play croquet."" The",4.256992151086671,5.08
"Frog-Footman repeated, in the same solemn tone, ""From the Queen. An,4.016351654826006,4.9565215
invitation for the Duchess to play croquet."" Then they both bowed low",4.195685222040381,5.08
and their curls got entangled together.,3.7701821180981243,4.3125
"When Alice next peeped out, the Fish-Footman was gone, and the other was",4.068085905784973,5.0833335
"sitting on the ground near the door, staring stupidly up into the sky.",3.918309360223419,4.5789475
Alice went timidly up to the door and knocked.,3.9690016298759927,4.55
"going on within--a constant howling and sneezing, and every now and then",3.852387660538393,4.7
"a great crash, as if a dish or kettle had been broken to pieces.",3.8768725961460704,4.7
"""How am I to get in?"" asked Alice.",4.07551072488073,4.6190476
Alice opened the door and went in. The door led right into a large,3.755008743668679,4.6666665
"kitchen, which was full of smoke from one end to the other; the Duchess",3.964658686047054,4.714286
"was sitting on a three-legged stool in the middle, nursing a baby; the",4.0090024394462285,4.857143
"cook was leaning over the fire, stirring a large caldron which seemed to",3.9770420646468665,4.8
be full of soup.,3.202819531114783,3.4
"""There's certainly too much pepper in that soup!"" Alice said to herself,",4.198702073859847,4.875
as well as she could for sneezing. Even the Duchess sneezed,3.92332404331985,4.9545455
"occasionally; and as for the baby, it was sneezing and howling",4.052739610194444,4.8095236
alternately without a moment's pause. The only two creatures in the,3.9675315944260148,4.8
"kitchen that did _not_ sneeze were the cook and a large cat, which was",3.875647919408126,4.631579
grinning from ear to ear.,3.413660689688186,3.9166667
"Just then the cook took the caldron of soup off the fire, and at once",3.782389262794917,4.736842
set to work throwing everything within her reach at the Duchess and the,3.816666267508281,4.736842
"baby--the fire-irons came first; then followed a shower of saucepans,",4.213101726321476,4.9565215
"plates and dishes. The Duchess took no notice of them, even when they",3.989869850117274,5.0416665
"hit her, and the baby was howling so much already that it was quite",3.9722604471261573,4.857143
impossible to say whether the blows hurt it or not.,3.806572096950487,4.611111
in an agony of terror.,3.3564924137968246,3.75
"Alice caught the baby with some difficulty, as it was a queer-shaped",4.178604697619975,4.9166665
said the last words out loud and the little thing grunted in reply.,3.851495213667546,4.5
that Alice looked down into its face in some alarm. This time there,3.930646467219486,4.8
could be _no_ mistake about it--it was neither more nor less than a pig;,4.104521178248395,4.9130435
